dataHora,ordem,linha,latitude,longitude,velocidade
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:36:18,C41371,,"-23.019766","-43.482792",12.22
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:03,C41428,,"-22.979282","-43.230049",41.86
08-18-2017 08:37:11,A41352,,"-22.906006","-43.182335",0.37
08-18-2017 08:37:12,C41421,,"-22.90555","-43.190693",3.33
08-18-2017 08:37:23,C12046,,"-22.92284","-43.67952",23
08-18-2017 08:37:26,B73120,,"-22.83202","-43.32851",30
08-18-2017 08:38:08,C41354,,"-23.010784","-43.370335",34.08
08-18-2017 08:38:11,A41284,,"-23.020462","-43.45879",0
08-18-2017 08:42:55,A09,001,"-22.870346","-43.249363",0.93
08-18-2017 08:43:23,C30078,550,"-23.008301","-43.303268",3
08-18-2017 08:43:31,C47463,554,"-22.982611","-43.468288",28
08-18-2017 08:43:49,B27048,629,"-22.82515","-43.332489",0
08-18-2017 08:47:22,A29131,473,"-22.9646","-43.177799",0
08-18-2017 08:47:32,B32619,,"-22.81744","-43.393131",0
08-18-2017 08:48:19,D53923,,"-22.88345","-43.494591",0
08-18-2017 08:49:08,D86185,852,"-22.894352","-43.53199",0.56
08-18-2017 08:50:23,A37744,133,"-22.91935","-43.2118",5
08-18-2017 08:50:59,A50016,302,"-22.961054","-43.395672",0
08-18-2017 08:51:25,A41834,,"-23.013109","-43.54073",0
08-18-2017 08:51:25,C44549,,"-22.89607","-43.305828",0
08-18-2017 08:51:51,D87509,398,"-22.87141","-43.50975",46
08-18-2017 08:51:54,A72076,007,"-22.918987","-43.183285",2.04
08-18-2017 08:52:14,B73078,,"-22.89629","-43.184849",36
08-18-2017 08:53:13,D53914,2310,"-22.883751","-43.49501",0
08-18-2017 08:56:48,C30274,565,"-22.9636","-43.35704",56
08-18-2017 08:57:42,C30297,550,"-22.98337","-43.22821",23
08-18-2017 08:58:09,D87199,,"-22.91633","-43.607491",0
08-18-2017 08:58:10,B28601,696,"-22.818331","-43.202438",0
08-18-2017 08:59:02,C13103,341,"-22.914631","-43.380939",0
08-18-2017 08:59:17,B32652,298,"-22.907089","-43.172878",38
08-18-2017 09:00:21,B42631,,"-22.876431","-43.32954",6
08-18-2017 09:00:51,D13371,SV790,"-22.840549","-43.37019",10
08-18-2017 09:05:16,D53903,2310,"-22.883789","-43.494968",0
08-18-2017 09:05:22,C47992,2114,"-22.90538","-43.215",0
08-18-2017 09:07:10,A29027,,"-22.868521","-43.291321",0
08-18-2017 09:09:18,A18,001,"-22.94191","-43.208649",20
08-18-2017 09:09:25,D53911,2310,"-22.88332","-43.49509",0
08-18-2017 09:10:19,A50141,,"-22.91427","-43.210342",27.97
08-18-2017 09:11:39,A72156,422,"-22.889597","-43.292389",0
08-18-2017 09:11:58,C30185,565,"-23.01338","-43.312939",38
08-18-2017 09:13:23,D13250,383,"-22.880251","-43.357658",0
08-18-2017 09:14:01,A50097,,"-22.924629","-43.257172",6.3
08-18-2017 09:14:11,A50026,,"-22.926977","-43.235615",0
08-18-2017 09:14:17,C30193,565,"-23.01202","-43.310768",42
08-18-2017 09:15:25,C47569,861,"-22.956181","-43.393421",0
08-18-2017 09:15:45,D53570,397,"-22.88134","-43.512112",29
08-18-2017 09:17:12,D86042,884,"-22.88611","-43.473305",7.78
08-18-2017 09:21:27,D53689,,"-22.83485","-43.360722",57
08-18-2017 09:21:46,D53928,2310,"-22.88423","-43.495251",0
08-18-2017 09:22:41,C47725,552,"-23.00161","-43.365551",8
08-18-2017 09:25:47,A72077,410,"-22.924894","-43.201042",38.52
08-18-2017 09:26:28,B32602,795,"-22.806431","-43.367809",0
08-18-2017 09:29:56,B73118,350,"-22.901159","-43.178612",13
08-18-2017 09:32:30,B32622,265,"-22.892059","-43.215111",17
08-18-2017 09:32:32,C30333,565,"-23.01499","-43.30798",52
08-18-2017 09:32:52,A41282,462,"-22.874344","-43.241482",0.56
08-18-2017 09:32:58,B63101,,"-22.79215","-43.294418",0
08-18-2017 09:33:30,C47815,692,"-23.00181","-43.366631",4
08-18-2017 09:35:56,B27152,639,"-22.81698","-43.301842",0
08-18-2017 09:35:59,B27157,639,"-22.81698","-43.301521",0
08-18-2017 09:36:38,D87819,2336,"-22.899719","-43.554298",0
08-18-2017 09:39:17,A27525,548,"-22.919689","-43.253761",2
08-18-2017 09:39:53,B27012,629,"-22.817101","-43.302212",0
08-18-2017 09:43:01,A29157,,"-22.89535","-43.237499",38
08-18-2017 09:43:10,B32620,,"-22.817671","-43.393478",0
08-18-2017 09:43:21,C30364,,"-22.91589","-43.361221",0
08-18-2017 09:43:28,B32590,298,"-22.817499","-43.39328",0
08-18-2017 09:45:05,C47878,554,"-23.024851","-43.52153",0
08-18-2017 09:45:46,D13399,SP801,"-22.87888","-43.42487",48
08-18-2017 09:46:06,C47593,348,"-22.978201","-43.41629",26
08-18-2017 09:47:30,C47910,,"-22.952259","-43.348068",0
08-18-2017 09:50:32,A27543,548,"-22.984091","-43.238708",67
08-18-2017 09:50:36,B73007,,"-22.899059","-43.18021",0
08-18-2017 09:51:45,B42585,,"-22.87623","-43.32972",0
08-18-2017 09:53:27,A27506,432,"-22.94927","-43.184219",17
08-18-2017 09:55:18,D86722,2803,"-22.89407","-43.532715",0
08-18-2017 09:55:29,D87893,2339,"-22.866541","-43.51025",0
08-18-2017 09:55:47,B32724,,"-22.816351","-43.394321",19
08-18-2017 09:57:22,B31001,485,"-22.96483","-43.179909",17
08-18-2017 09:57:36,B51595,624,"-22.876209","-43.368649",2
08-18-2017 09:59:22,D17085,839,"-22.93577","-43.674759",6
08-18-2017 10:02:07,D13365,801,"-22.879971","-43.357189",0
08-18-2017 10:02:10,D86339,851,"-22.894428","-43.531597",0.37
08-18-2017 10:03:07,C30328,557,"-22.951719","-43.347839",0
08-18-2017 10:03:10,A29026,473,"-22.96102","-43.20417",56
08-18-2017 10:03:17,D12102,2303,"-22.908079","-43.17725",15
08-18-2017 10:04:49,C47976,2114,"-22.9053","-43.21463",0
08-18-2017 10:05:18,A41327,104,"-22.998926","-43.270424",0
08-18-2017 10:06:11,D53704,819,"-22.843439","-43.467621",0
08-18-2017 10:06:27,A71602,217,"-22.930115","-43.254444",0.19
08-18-2017 10:06:29,D87520,,"-22.916651","-43.608189",0
08-18-2017 10:07:07,D13309,,"-22.875681","-43.41925",0
08-18-2017 10:07:08,C30033,565,"-23.01396","-43.313782",0
08-18-2017 10:08:30,C20145,380,"-22.957783","-43.34647",0.37
08-18-2017 10:08:44,D12144,,"-23.02034","-43.482979",0
